id;time;lang;place
1287;13,2;10;
1288;13,2;12;
1289;13,1;11;
1290;13,2;12;
1291;14,1;11;
1292;13,2;10;
1293;13,1;21;
1294;13,1;11;
1295;13,2;11;
1296;13,2;11;
1297;13,2;11;
1298;14,1;20;
1299;14,1;12;
1300;13,2;ambig;
1301;13,2;ambig;
1302;13,2;22;
1303;14,1;12;
1304;13,2;12;
1305;13,2;11;
1306;13,2;11;
1307;13,2;niederösterr.;
1309;13,1;ambig;
1310;13,2;ambig;
1311;13,2;ambig;Gröbming/Steiermark
1312;14,1;11;
1313;14,1;12;
1314;13,2;westripuar.;
1315;14,1;westripuar.;
1316;13,2;21;
1317;13,2;10;
1318;14,1;20;
1319;14,1;ambig;
1320;14,1;20;
1321;14,1;11;
1322;14,1;ambig;
1323;13,2;21;
1324;13,2;21;
1325;13,2;ambig;
1326;13,2;11;
1327;13,2;12;
1328;13,1;12;
1329;13,1;12;
1330;13,2;ambig;
1331;13,1;20;
1332;14,1;12;
1333;13,2;20;
1334;13,1;20;
1335;13,2;11;
1336;13,1;11;
1338;13,2;12;
1339;13,1;11;
1340;12,2;westbair.;
1341;18,2;;
1342;13,2;nordöstl. Bair.;
1343;13,2;11;
1344;13,1;12;
1345;13,2;11;
1346;13,2;11;
1347;13,2;10;
1348;13,2;ambig;
1349;13,2;10;
1350;13,1;10;
1351;13,1;13;
1352;13,1;10;
1353;13,2;12;
1354;13,2;11;
1355;14,1;20;
1356;13,1;11;
1357;13,1;11;
1358;13,2;12;
1359;13,2;31;
1360;14,1;11;
1361;13,1;20;
1362;14,1;ambig;
1363;13,2;21;
1364;13,2;Nordschwaben   Nordelsaß   Südrheinfranken;
1365;12,2;11;
1366;13,2;ambig;
1367;14,1;12;
1368;13,2;20;
1369;13,1;12;
1370;13,2;10;
1371;13,2;20;
1372;13,2;31;
1373;13,2;nicht feststellbar;
1374;13,2;21;
1375;13,2;ambig;
1376;13,2;11;
1377;13,2;10;Stams/Tirol
1378;11,2;südostalem.;
1379;14,1;22;Nordhausen.
1380;13,2;22;Mühlhausen
1381;13,1;11;
1382;13,1;11;
1383;13,2;21;
1384;13,1;11;
1385;13,2;20;
1386;13,2;10;
1387;13,2;21;
1388;13,1;12;
1389;13,1;11;Diözese Trient
1390;14,1;11;
1391;13,1;21;
1392;13,2;11;
1393;13,1;21;
1394;13,2;20;
1395;14,1;21;
1396;13,1;12;Schaffhausen
1397;14,1;ambig;
1398;13,2;20;
1399;14,1;12;
1400;13,2;11;
1401;13,1;11;
1402;13,1;11;
1403;13,1;12;
1404;13,1;10;
1405;13,1;11;Chorfrauenstift Seckau Seckau
1406;14,1;11;
1407;14,1;11;
1408;13,1;11;Chorfrauenstift Seckau Seckau
1409;13,2;10;
1410;13,2;11;Admont
1411;13,1;21;
1412;13,2;12;
1413;13,2;ambig;
1414;13,1;21;
1415;13,2;12;
1416;13,1;ambig;
1417;13,2;ambig;
1418;13,2;21;
1419;14,1;10;
1420;14,2;ambig;
1421;14,1;12;
1422;13,2;11;
1423;13,2;11;
1424;13,2;verschiedene Schreibdialekte;westdt. Zisterzienserkloster
1425;14,1;12;
1426;13,2;ambig;
1427;13,2;20;
1428;14,1;20;
1429;13,2;20;
1430;13,2;11;
1431;13,2;30;
1432;12,2;11;Augustiner-Chorherrenstift Vorau
1433;13,2;10;
1434;13,1;11;
1435;13,1;11;
1436;13,2;20;
1437;13,1;11;
1438;13,2;11;
1439;13,2;12;
1440;13,2;11;
1441;14,1;22;
1442;14,1;13;
1443;13,2;12;
1444;13,2;20;
1445;13,1;10;
1446;14,1;westl. Hochalem.;
1447;13,1;10;
1448;13,2;12;
1449;13,2;12;
1450;13,2;12;
1451;13,1;10;
1452;13,2;11;
1453;13,1;12;
1454;13,2;ambig;
1455;13,2;12;Kloster Engelberg
1456;13,2;11;
1457;13,2;ostbair.;
1458;14,1;30;
1459;13,2;20;
1460;13,1;30;
1461;13,2;11;
1462;13,2;22;
1463;13,2;11;
1465;13,2;22;
1466;13,1;12;
1467;13,1;12;
1468;13,2;20;
1469;13,2;12;
1470;13,2;10;
1471;13,2;20;
1472;13,2;westl. Hochalem.;
1473;13,2;10;
1474;13,1;ostbair.;
1475;13,1;20;
1476;14,1;30;
1477;13,2;11;
1478;13,2;ambig;
1479;13,1;11;
1480;14,1;ambig;
1481;13,1;11;
1482;13,1;10;
1483;13,2;30;
1484;13,2;21;
1485;13,2;30;
1486;13,2;31;
1487;14,1;30;
1488;14,1;22;
1489;13,2;12;Augsburg
1490;13,2;31;Lübecker Kanzlei
1491;13,2;31;Lübecker Kanzlei
1492;13,2;31;Lübecker Kanzlei
1493;13,2;31;Lübecker Kanzlei. Auftraggeber: Albrecht von Bardewik für den Kolberger Rat
1494;13,2;ostelb.;Lübeck
1495;14,1;31;Lübecker Kanzlei
1496;13,2;30;Stade
1497;13,2;30;
1498;13,2;30;
1499;13,2;31;Lübecker Kanzlei
1500;13,2;30;Riga
1501;14,1;30;
1502;13,2;30;
1503;14,1;30;Braunschweig
1504;13,2;31;Halle
1505;13,2;30;Wismar
1506;13,1;11;
1507;13,1;11;
1508;13,2;12;
1509;13,2;11;
1510;13,2;12;
1511;14,1;20;
1512;13,1;22;
1513;13,2;12;
1514;14,1;21;
1515;13,2;12;
1516;14,1;31;
1517;13,1;12;
1518;13,2;10;
1519;13,2;ambig;
1520;14,1;20;
1521;13,2;ambig;
1522;13,2;10;
1523;13,1;20;
1524;14,1;11;Benediktbeuern
1525;14,2;11;
1526;14,2;12;
1527;14,1;11;
1528;13,2;30;Goslar
1529;13,2;11;
1530;13,2;11;
1531;13,2;31;Wöltingerode
1532;13,2;31;Wöltingerode
1533;13,2;ambig;Wöltingerode
1534;14,1;31;Wöltingerode
1535;14,1;31;Wöltingerode
1536;13,2;ambig;
1537;13,1;ambig;
1538;13,2;31;Wöltingerode. Schreiberin: Kristina
1539;14,1;31;
1540;13,1;21;
1541;13,2;20;
1542;14,2;12;
1544;13,1;nördl. Moselfrk.;
1545;13,2;ambig;
